Season,Date,Time,Home,Away,Result
2015/2016,17/07/2015,17:00,Wisla,Gornik Z.,D
2015/2016,17/07/2015,19:30,Lechia Gdansk,Cracovia,A
2015/2016,18/07/2015,14:30,Ruch,Leczna,A
2015/2016,18/07/2015,17:00,Zaglebie,Podbeskidzie,D
2015/2016,18/07/2015,19:30,Lech Poznan,Pogon Szczecin,A
2015/2016,19/07/2015,14:30,Korona Kielce,Jagiellonia,H
2015/2016,19/07/2015,17:00,Slask Wroclaw,Legia,A
2015/2016,20/07/2015,17:00,Piast Gliwice,Termalica B-B.,H
2015/2016,24/07/2015,17:00,Ruch,Piast Gliwice,H
2015/2016,24/07/2015,19:30,Cracovia,Wisla,D
2015/2016,25/07/2015,17:00,Zaglebie,Korona Kielce,A
2015/2016,25/07/2015,19:30,Lech Poznan,Lechia Gdansk,H
2015/2016,26/07/2015,14:30,Jagiellonia,Termalica B-B.,H
2015/2016,26/07/2015,14:30,Pogon Szczecin,Slask Wroclaw,D
2015/2016,26/07/2015,17:00,Legia,Podbeskidzie,H
2015/2016,27/07/2015,17:00,Leczna,Gornik Z.,H
2015/2016,31/07/2015,17:00,Piast Gliwice,Gornik Z.,H
2015/2016,31/07/2015,19:30,Lechia Gdansk,Pogon Szczecin,D
2015/2016,01/08/2015,17:00,Podbeskidzie,Cracovia,A
2015/2016,01/08/2015,19:30,Wisla,Lech Poznan,H
2015/2016,02/08/2015,14:30,Jagiellonia,Zaglebie,A
2015/2016,02/08/2015,14:30,Slask Wroclaw,Termalica B-B.,H
2015/2016,02/08/2015,17:00,Leczna,Legia,A
2015/2016,03/08/2015,17:00,Korona Kielce,Ruch,A
2015/2016,07/08/2015,17:00,Cracovia,Piast Gliwice,A
2015/2016,07/08/2015,19:30,Termalica B-B.,Zaglebie,H
2015/2016,08/08/2015,14:30,Gornik Z.,Jagiellonia,A
2015/2016,08/08/2015,17:00,Pogon Szczecin,Leczna,D
2015/2016,08/08/2015,19:30,Lech Poznan,Korona Kielce,D
2015/2016,09/08/2015,14:30,Slask Wroclaw,Lechia Gdansk,D
2015/2016,09/08/2015,17:00,Legia,Wisla,D
2015/2016,10/08/2015,17:00,Ruch,Podbeskidzie,D
2015/2016,14/08/2015,17:00,Korona Kielce,Cracovia,A
2015/2016,14/08/2015,19:30,Zaglebie,Lech Poznan,H
2015/2016,15/08/2015,14:30,Termalica B-B.,Gornik Z.,H
2015/2016,15/08/2015,17:00,Leczna,Slask Wroclaw,A
2015/2016,15/08/2015,19:30,Piast Gliwice,Legia,H
2015/2016,16/08/2015,14:30,Jagiellonia,Ruch,H
2015/2016,16/08/2015,17:00,Wisla,Lechia Gdansk,D
2015/2016,17/08/2015,17:00,Podbeskidzie,Pogon Szczecin,A
2015/2016,21/08/2015,17:00,Pogon Szczecin,Wisla,D
2015/2016,21/08/2015,19:30,Lechia Gdansk,Leczna,H
2015/2016,22/08/2015,14:30,Ruch,Termalica B-B.,H
2015/2016,22/08/2015,17:00,Slask Wroclaw,Podbeskidzie,D
2015/2016,22/08/2015,19:30,Cracovia,Jagiellonia,D
2015/2016,23/08/2015,14:30,Lech Poznan,Piast Gliwice,A
2015/2016,23/08/2015,17:00,Legia,Korona Kielce,A
2015/2016,24/08/2015,17:00,Gornik Z.,Zaglebie,D
2015/2016,28/08/2015,17:00,Podbeskidzie,Lechia Gdansk,D
2015/2016,28/08/2015,19:30,Wisla,Slask Wroclaw,H
2015/2016,29/08/2015,14:30,Piast Gliwice,Leczna,H
2015/2016,29/08/2015,17:00,Zaglebie,Ruch,H
2015/2016,29/08/2015,19:30,Korona Kielce,Pogon Szczecin,D
2015/2016,30/08/2015,14:30,Gornik Z.,Cracovia,D
2015/2016,30/08/2015,14:30,Termalica B-B.,Lech Poznan,H
2015/2016,30/08/2015,17:00,Jagiellonia,Legia,D
2015/2016,11/09/2015,17:00,Lechia Gdansk,Korona Kielce,D
2015/2016,11/09/2015,19:30,Legia,Zaglebie,D
2015/2016,12/09/2015,14:30,Slask Wroclaw,Jagiellonia,H
2015/2016,12/09/2015,17:00,Cracovia,Termalica B-B.,A
2015/2016,12/09/2015,19:30,Lech Poznan,Podbeskidzie,A
2015/2016,13/09/2015,14:30,Pogon Szczecin,Piast Gliwice,H
2015/2016,13/09/2015,17:00,Ruch,Gornik Z.,H
2015/2016,14/09/2015,17:00,Leczna,Wisla,H
2015/2016,18/09/2015,17:00,Gornik Z.,Slask Wroclaw,H
2015/2016,18/09/2015,19:30,Zaglebie,Cracovia,H
2015/2016,19/09/2015,14:30,Termalica B-B.,Pogon Szczecin,D
2015/2016,19/09/2015,17:00,Podbeskidzie,Wisla,A
2015/2016,19/09/2015,19:30,Piast Gliwice,Lechia Gdansk,H
2015/2016,20/09/2015,14:30,Ruch,Legia,A
2015/2016,20/09/2015,17:00,Jagiellonia,Lech Poznan,H
2015/2016,21/09/2015,17:00,Korona Kielce,Leczna,A
2015/2016,25/09/2015,17:00,Wisla,Korona Kielce,D
2015/2016,25/09/2015,19:30,Slask Wroclaw,Piast Gliwice,A
2015/2016,26/09/2015,14:30,Leczna,Podbeskidzie,A
2015/2016,26/09/2015,17:00,Cracovia,Ruch,H
2015/2016,26/09/2015,19:30,Lech Poznan,Gornik Z.,D
2015/2016,27/09/2015,14:30,Lechia Gdansk,Zaglebie,H
2015/2016,27/09/2015,17:00,Legia,Termalica B-B.,D
2015/2016,28/09/2015,17:00,Pogon Szczecin,Jagiellonia,H
2015/2016,02/10/2015,17:00,Ruch,Pogon Szczecin,A
2015/2016,02/10/2015,19:30,Jagiellonia,Lechia Gdansk,A
2015/2016,03/10/2015,14:30,Termalica B-B.,Leczna,D
2015/2016,03/10/2015,17:00,Korona Kielce,Podbeskidzie,D
2015/2016,03/10/2015,19:30,Piast Gliwice,Wisla,H
2015/2016,04/10/2015,14:30,Gornik Z.,Legia,D
2015/2016,04/10/2015,14:30,Zaglebie,Slask Wroclaw,D
2015/2016,04/10/2015,17:00,Cracovia,Lech Poznan,H
2015/2016,16/10/2015,17:00,Lechia Gdansk,Gornik Z.,D
2015/2016,16/10/2015,19:30,Slask Wroclaw,Korona Kielce,A
2015/2016,17/10/2015,14:30,Podbeskidzie,Piast Gliwice,D
2015/2016,17/10/2015,17:00,Lech Poznan,Ruch,D
